date,code,name,high,low,close,change,volume,value
2026-09-08,6515,穎崴,7700,6945,7700,700,819272,6110561680
2026-09-08,6525,捷敏-KY,136,129.5,130.5,-3,989725,130027016
2026-09-08,6526,達發,653,636,643,-1,335172,216042592
2026-09-08,6531,愛普*,979,924,931,-29,2388928,2267831314
2026-09-08,6533,晶心科,261.5,252.5,256,-1,1516453,391592243
2026-09-08,6534,正瀚-創,93.2,91.6,92.1,-0.3,33039,3051985
2026-09-08,6541,泰福-KY,32.1,31.35,31.8,0.2,203704,6482548
2026-09-08,6550,北極星藥業-KY,10.35,9.99,10.15,-0.15,2022559,20466936
2026-09-08,6552,易華電,24.1,23.7,23.75,-0.25,28600,682769
2026-09-08,6558,興能高,24.5,23.5,23.55,-0.7,207150,4936658
2026-09-08,6573,虹揚-KY,16.95,16.2,16.3,0.1,196787,3220174
2026-09-08,6579,研揚,152.5,146.5,147.5,-4.5,388630,57498737
2026-09-08,6581,鋼聯,112,110,111.5,2.5,39626,4410806
2026-09-08,6582,申豐,32,31.7,31.95,0.05,13498,430397
2026-09-08,6585,鼎基,114,111,111,-3,138609,15538226
2026-09-08,6589,台康生技,47.9,47.05,47.45,-0.05,490988,23300888
2026-09-08,6591,動力-KY,42.5,42,42.1,0.05,39716,1678208
2026-09-08,6592,和潤企業,60.9,60.2,60.3,-0.3,289057,17487362
2026-09-08,6598,ABC-KY,28.7,27.35,28.4,1.3,255878,7203594
2026-09-08,6605,帝寶,138,135.5,135.5,-2,185192,25231613
2026-09-08,6606,建德工業,26,25.4,25.85,0.8,138811,3585869
2026-09-08,6614,資拓宏宇,35.85,35.55,35.85,0,15740,561864
2026-09-08,6625,必應,75.9,75.5,75.9,0.1,69515,5258479
2026-09-08,6641,基士德-KY,17.65,17,17.1,-0.15,43322,747332
2026-09-08,6645,金萬林-創,12.55,12.2,12.2,0,49203,608849
2026-09-08,6655,科定,123,121,122.5,2.5,20205,2465496
2026-09-08,6657,華安,33.45,30.5,33.45,3,361956,11873278
2026-09-08,6658,聯策,178.5,171.5,171.5,-4,240032,41626501
2026-09-08,6666,羅麗芬-KY,45.2,44,44.95,0.15,26521,1180725
2026-09-08,6668,中揚光,41.2,40.05,40.2,-0.7,737832,29902926
2026-09-08,6669,緯穎,2485,2315,2340,-150,5080716,12065729035
2026-09-08,6670,復盛應用,279,273.5,279,3,182864,50693756
2026-09-08,6671,三能-KY,23.1,23,23.1,0,19992,461156
2026-09-08,6672,騰輝電子-KY,317.5,290,294,-5.5,7324357,2186933855
2026-09-08,6674,鋐寶科技,16.65,16.15,16.15,-0.35,22786,371855
2026-09-08,6689,伊雲谷,61.5,60.9,61,-1,43306,2651219
2026-09-08,6691,洋基工程,624,615,615,-9,258676,160057890
2026-09-08,6695,芯鼎,48.5,46.9,47.1,-1.5,503656,23845226
2026-09-08,6698,旭暉應材,31.9,31,31.5,-0.1,93014,2930321
2026-09-08,6706,惠特,126.5,122.5,123,-0.5,768978,95510360
2026-09-08,6715,嘉基,340,322,325,-14,717970,236600814
2026-09-08,6719,力智,190,183,183.5,-6.5,842219,156003956
2026-09-08,6722,輝創,32.95,32.25,32.55,-0.35,42286,1374772
2026-09-08,6742,澤米,46.1,43.6,44.25,0.05,459382,20668006
2026-09-08,6743,安普新,29.05,28.4,29,0.35,274697,7921127
2026-09-08,6753,龍德造船,138,134,134.5,-3,741569,100675798
2026-09-08,6754,匯僑設計,42.75,41.6,42.75,0.1,11315,479796
2026-09-08,6756,威鋒電子,103,97.4,98.3,-1.6,187153,18573312
2026-09-08,6757,台灣虎航,55.5,55,55.4,-0.1,288253,15931750
2026-09-08,6768,志強-KY,64.1,63.5,63.7,-0.1,114582,7308867
2026-09-08,6770,力積電,75.3,71.9,72.4,-0.5,172801850,12658034103
2026-09-08,6771,平和環保-創,42.4,41.5,41.8,0,16381,685048
2026-09-08,6776,展碁國際,52.6,52.3,52.4,-0.6,86687,4547323
2026-09-08,6781,AES-KY,1090,1055,1065,-15,327967,350557435
2026-09-08,6782,視陽,234,228,232.5,3.5,245971,56978976
2026-09-08,6789,采鈺,480,463,463,-8,1140485,535951947
2026-09-08,6790,永豐實,38.25,37.95,38,-0.1,56131,2136932
2026-09-08,6792,詠業,63,59.8,60.2,0,172941,10603221
2026-09-08,6794,向榮生技,76.1,73.7,75,0,9416,708076
2026-09-08,6796,晉弘,59.7,56.7,56.8,-1.8,92371,5312985
2026-09-08,6799,來頡,79.4,78.3,78.3,-1.3,125830,9901643
2026-09-08,6805,富世達,2235,2145,2155,-110,325778,710931680
2026-09-08,6807,峰源-KY,33.35,33.35,33.35,-0.4,1465,50521
2026-09-08,6830,汎銓,609,574,576,-6,2067152,1226480128
2026-09-08,6831,邁科,578,551,560,-8,733589,412112748
2026-09-08,6834,天二科技,105,97.8,98.7,1.7,7653879,770984282
2026-09-08,6835,圓裕,31.4,30.4,31.15,-0.15,38197,1176151
2026-09-08,6838,台新藥,24.4,23.75,23.95,-0.75,88065,2128008
2026-09-08,6854,錼創科技-KY創,95.8,90.7,91,-4.1,203238,18817573
2026-09-08,6861,睿生光電,205,186,195.5,9,1596997,317572489
2026-09-08,6862,三集瑞-KY,141.5,138,138,-2.5,90162,12505076
2026-09-08,6863,永道-KY,103,101,101,-2.5,61257,6234907
2026-09-08,6869,雲豹能源,66.1,64,64.1,-0.9,223942,14426599
2026-09-08,6873,泓德能源,68.8,68.1,68.3,-0.3,126843,8686750
2026-09-08,6885,全福生技,25.55,25.05,25.35,0.2,559479,14140257
2026-09-08,6887,寶綠特-KY,38.5,37.55,37.75,-0.2,13690,519857
2026-09-08,6890,來億-KY,166,160.5,162,-4,327605,53070643
2026-09-08,6901,鑽石投資,15.35,14.9,15.25,0.3,977186,14822633
2026-09-08,6902,GOGOLOOK,128,125,127,1,58118,7343121
2026-09-08,6906,現觀科,86.6,80.9,81.9,-4.6,168082,14138036
2026-09-08,6908,宏碁遊戲-創,32.1,30.4,30.4,0.3,17372,541288
2026-09-08,6909,創控,40.35,39.85,39.95,-0.15,155372,6215392
2026-09-08,6914,阜爾運通,121,120.5,120.5,-0.5,37298,4502081
2026-09-08,6916,華凌,20.35,18.8,18.8,0.25,175733,3421675
2026-09-08,6918,愛派司,77.7,76.9,77.5,-0.5,35708,2758616
2026-09-08,6919,康霈*,86.2,81.6,81.6,-3.6,7796917,645731534
2026-09-08,6921,嘉雨思-創,64,62.9,62.9,-1.1,9515,604512
2026-09-08,6923,中台,76.7,75.9,76.4,-0.2,27811,2118983
2026-09-08,6924,榮惠-KY創,130,123.5,125.5,0.5,46988,5991124
2026-09-08,6928,攸泰科技,48.75,47.75,48,0.1,46300,2230367
2026-09-08,6931,青松健康,40.8,40.6,40.65,-0.35,40054,1630084
2026-09-08,6933,AMAX-KY,325,315,317.5,4.5,345717,110751247
2026-09-08,6934,心誠鎂,78.8,75.3,76.8,-0.8,34449,2636475
2026-09-08,6936,永鴻生技,32.9,32.5,32.8,-0.1,16006,522911
2026-09-08,6937,天虹,293.5,283.5,287.5,1,301998,87005583
2026-09-08,6944,兆聯實業,724,706,706,-13,277390,198086701
2026-09-08,6947,台鎔科技,69.6,68.6,68.7,-0.6,148768,10250669
2026-09-08,6949,沛爾生醫*-創,62.7,60.4,60.4,-6.7,18561472,1123579102
2026-09-08,6951,青新-創,71.3,70.8,71,-0.3,19881,1414411
